image_path,ground_truth,predicted_class,segmented_image,mask,structural_assessment
hurricane_dataset/damage/-95.587242_29.756709000000004.jpeg,damage,damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181249.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181249.png,"Based on the DINOv2's prediction, the segmented building appears to be damaged. The reasoning behind this conclusion is that the building's roof is visibly torn and the walls are also showing signs of damage. The presence"
hurricane_dataset/no_damage/-95.087627_29.829279.jpeg,no_damage,no_damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181249.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181249.png,"Based on the DINOv2's prediction of no_damage, it is likely that the segmented building in the image is intact. The model has analyzed the image and determined that there is no visible damage to the building"
hurricane_dataset/no_damage/-95.62772700000001_29.859982000000002.jpeg,no_damage,no_damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181250.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181250.png,"Based on the DINOv2's prediction of no_damage, it is likely that the segmented building in the image is intact. The model has analyzed the image and determined that there is no visible damage to the building"
hurricane_dataset/damage/-95.096374_29.836113.jpeg,damage,damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181250.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181250.png,"Based on the DINOv2's prediction, the segmented building appears to be damaged. The reasoning behind this conclusion is that the building's roof is visibly torn and the walls are also showing signs of damage. The presence"
hurricane_dataset/damage/-96.904953_28.783746.jpeg,damage,damage,./outputs/hurricane_v1/images/segmented/-96_segmented_20260603_181250.png,./outputs/hurricane_v1/images/masks/-96_mask_20260603_181250.png,"Based on the DINOv2's prediction, the segmented building appears to be damaged. The reasoning behind this conclusion is that the roof of the building is visibly torn and the walls are also showing signs of damage. The presence"
hurricane_dataset/damage/-95.642573_29.836302000000003.jpeg,damage,damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181250.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181250.png,"Based on the DINOv2's prediction, the segmented building appears to be damaged. The reasoning behind this conclusion is that the building's roof is visibly torn and the walls are also showing signs of damage. The presence"
hurricane_dataset/no_damage/-95.086343_29.829520000000002.jpeg,no_damage,no_damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181250.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181250.png,"Based on the DINOv2's prediction of no_damage, it is likely that the segmented building in the image is intact. The model has analyzed the image and determined that there is no visible damage to the building"
hurricane_dataset/no_damage/-95.640325_29.842225.jpeg,no_damage,no_damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181251.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181251.png,"Based on the DINOv2's prediction of no_damage, it is likely that the segmented building in the image is intact. The model has analyzed the image and determined that there is no visible damage to the building"
hurricane_dataset/damage/-95.595087_29.766328.jpeg,damage,damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181251.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181251.png,"Based on the DINOv2's prediction, the segmented building appears to be damaged. The reasoning behind this conclusion is that the roof of the building is visibly torn and the walls show signs of structural damage. Additionally,"
hurricane_dataset/no_damage/-95.637217_29.772446000000002.jpeg,no_damage,no_damage,./outputs/hurricane_v1/images/segmented/-95_segmented_20260603_181251.png,./outputs/hurricane_v1/images/masks/-95_mask_20260603_181251.png,"Based on the DINOv2's prediction of no_damage, it is likely that the segmented building in the image is intact. The model has analyzed the image and determined that there is no visible damage to the building"
